"No","Mata Kuliah","Pertanyaan","Sangat Setuju","Setuju","Tidak Setuju","Sangat Tidak Setuju"
"1","Statistika dan Probabilitas (KL2102)","Kontrak perkuliahan disampaikan dengan jelas pada awal kuliah/praktikum","49.00 %","48.00 %","3.00 %","1.00 %"
"2","Statistika dan Probabilitas (KL2102)","Materi kuliah/praktikum disampaikan sesuai jadwal di kontrak perkuliahan","47.00 %","49.00 %","4.00 %","1.00 %"
"3","Statistika dan Probabilitas (KL2102)","Tersedia bahan ajar kuliah/praktikum (handout/modul/penuntun praktikum) yang lengkap","50.00 %","45.00 %","4.00 %","1.00 %"
"4","Statistika dan Probabilitas (KL2102)","Tugas kuliah/praktikum sesuai dengan materi perkuliahan ","47.00 %","50.00 %","3.00 %","1.00 %"
"5","Statistika dan Probabilitas (KL2102)","Tugas yang diberikan meningkatkan penguasaan materi kuliah","44.00 %","51.00 %","4.00 %","0.00 %"
"6","Statistika dan Probabilitas (KL2102)","Kuliah/praktikum dilaksanakan sesuai dengan jadwal yang ditetapkan","47.00 %","49.00 %","4.00 %","0.00 %"
"7","Statistika dan Probabilitas (KL2102)","Pemahaman mahasiswa meningkat setelah mengikuti perkuliahan","42.00 %","53.00 %","4.00 %","1.00 %"
"8","Statistika dan Probabilitas (KL2102)","Metode pengajaran dosen efektif meningkatkan pemahaman materi","45.00 %","50.00 %","4.00 %","1.00 %"
"9","Statistika dan Probabilitas (KL2102)","Nilai UTS/UAS diumumkan paling lambat dua minggu dari jadwal perkuliahan terakhir","46.00 %","50.00 %","3.00 %","2.00 %"
"10","Statistika dan Probabilitas (KL2102)","Absensi diedarkan pada pertemuan kuliah/praktikum secara teratur","44.00 %","52.00 %","3.00 %","1.00 %"
"11","Statistika dan Probabilitas (KL2102)","Soal ujian sesuai dengan materi kuliah yang disampaikan","46.00 %","50.00 %","3.00 %","1.00 %"
"12","Statistika dan Probabilitas (KL2102)","Rata-rata","46.00 %","50.00 %","3.00 %","1.00 %"
"13","Statika (KL2131)","Kontrak perkuliahan disampaikan dengan jelas pada awal kuliah/praktikum","40.00 %","53.00 %","3.00 %","3.00 %"
"14","Statika (KL2131)","Materi kuliah/praktikum disampaikan sesuai jadwal di kontrak perkuliahan","43.00 %","50.00 %","3.00 %","3.00 %"
"15","Statika (KL2131)","Tersedia bahan ajar kuliah/praktikum (handout/modul/penuntun praktikum) yang lengkap","40.00 %","53.00 %","3.00 %","3.00 %"
"16","Statika (KL2131)","Tugas kuliah/praktikum sesuai dengan materi perkuliahan ","33.00 %","57.00 %","7.00 %","3.00 %"
"17","Statika (KL2131)","Tugas yang diberikan meningkatkan penguasaan materi kuliah","40.00 %","50.00 %","10.00 %","0.00 %"
"18","Statika (KL2131)","Kuliah/praktikum dilaksanakan sesuai dengan jadwal yang ditetapkan","33.00 %","53.00 %","10.00 %","3.00 %"
"19","Statika (KL2131)","Pemahaman mahasiswa meningkat setelah mengikuti perkuliahan","37.00 %","53.00 %","7.00 %","3.00 %"
"20","Statika (KL2131)","Metode pengajaran dosen efektif meningkatkan pemahaman materi","37.00 %","57.00 %","3.00 %","3.00 %"
"21","Statika (KL2131)","Nilai UTS/UAS diumumkan paling lambat dua minggu dari jadwal perkuliahan terakhir","33.00 %","57.00 %","7.00 %","3.00 %"
"22","Statika (KL2131)","Absensi diedarkan pada pertemuan kuliah/praktikum secara teratur","30.00 %","60.00 %","7.00 %","3.00 %"
"23","Statika (KL2131)","Soal ujian sesuai dengan materi kuliah yang disampaikan","30.00 %","60.00 %","7.00 %","3.00 %"
